"","id","rate","povertytotalrate","povertymale","povertyedu","povertyover16female","povertyover16male","povertyfemaleunemployed","povertymaleunemployed","povertyage16to17","povertyage18to24","povertyage25to34","povertyage35to44","occupationssales","occupationsservice","employedfemalerate","employedNoHI","unemployedpublicHI","medianagemale","medianagefemale","age15to19Female","age20to24Female","age25to29Female","age30to34Female","age15to19Male","age20to24Male","age25to29Male","age30to34Male","lessHSearning","HSearning","Collegeearning"
"552","19023",61.6,0.558347176,0.4972288202692,0.583025830258303,0.45561894653045,0.511211357303967,30.4,36.5,0.0154394299287411,0.124703087885986,0.13895486935867,0.0922406967537609,0.223137093454096,0.146562371346233,0.580361669765084,0.0298130368873168,0.0120010106114199,42.6,46,0.0546641283655154,0.0456894207234158,0.0417459885776448,0.0553440304596138,0.0635415255385449,0.0448448719685679,0.0529738517816014,0.0544641647473242,25550,33932,35364
"553","19025",41,0.550864362,0.484010840108401,0.517126148705096,0.469871510855117,0.508418254319894,28.8,43.8,0.00596205962059621,0.147425474254743,0.119241192411924,0.0726287262872629,0.195652173913043,0.179347826086957,0.551052221356196,0.0380757420675537,0.00368474923234391,42.5,48.3,0.0403293918918919,0.0544763513513514,0.0515202702702703,0.0515202702702703,0.0559080095162569,0.0683980967486122,0.0636399682791435,0.0539254559873117,17813,25541,31734
"554","19027",98.4,0.57079136,0.461133400200602,0.651506537805571,0.470750806080147,0.508705665591893,62.1,42.2,0.00852557673019057,0.176780341023069,0.133650952858576,0.052407221664995,0.212283671933785,0.163562829194883,0.627147766323024,0.0301123595505618,0.008,40.9,42.9,0.0585168018539977,0.0554268057164929,0.0488605639242951,0.0528196214754732,0.0640768922707249,0.0581698037645174,0.0507609130957149,0.0576692030436524,26858,32135,39493
"555","19029",60.9,0.563205942,0.492079541624537,0.611520428667113,0.453280919262171,0.522679165406713,38.5,14,0.00370744860128076,0.0977418267610381,0.12639029322548,0.102123356926188,0.219519752130132,0.171649883810999,0.551508462104489,0.0599104143337066,0.00223964165733483,43.5,48.1,0.0534316676700783,0.0456050571944612,0.0471101745936183,0.0526791089704997,0.0603329769360012,0.0504047655414694,0.048266381548801,0.0517794409653276,23507,33738,34030
"556","19031",27,0.590864007,0.46662943311924,0.589897260273973,0.470046082949309,0.502598293950387,14.1,17.5,0.00726054174811505,0.132086009494555,0.11365540351857,0.0865679977659872,0.215625,0.145161290322581,0.642369020501139,0.0259087026667932,0.0052197020024675,41.4,43.4,0.0617190866006032,0.0458853942266265,0.0485781990521327,0.0624730719517449,0.062111123239821,0.0498853836917367,0.0471564239711822,0.0598187970745552,19038,34865,40027
"557","19033",44.2,0.592248284,0.486475493186903,0.612930310663308,0.457105030891439,0.501941747572816,40,29.1,0,0.13300793166565,0.153345535895871,0.0876550742322554,0.199844833880978,0.17561153705732,0.570126112354643,0.0614949494949495,0.0174141414141414,42.3,46.3,0.0540796963946869,0.0552543598084395,0.0571067136532032,0.0529953917050691,0.0651318944844125,0.0599040767386091,0.0570743405275779,0.0606714628297362,23864,31766,36305
"558","19035",79.5,0.575882623,0.562348877374784,0.632075471698113,0.440085709576397,0.536673809131366,15.6,26,0.00414507772020725,0.14853195164076,0.130915371329879,0.105699481865285,0.207588532883642,0.156492411467116,0.57742214532872,0.0457632600258732,0.0116429495472186,44.4,49.4,0.0470733427362482,0.0435472496473907,0.0504231311706629,0.0511283497884344,0.0434782608695652,0.0698757763975155,0.0541752933057281,0.0515873015873016,13250,32965,30900
"559","19037",16.7,0.577723686,0.492121212121212,0.644067796610169,0.447212517089473,0.53364727327966,25.4,15.9,0.00282828282828283,0.178989898989899,0.137373737373737,0.077979797979798,0.174849001084095,0.149450209075422,0.615256008359457,0.0417477180906778,0.00523716893610654,43.4,45,0.0554543949677206,0.0549577884456216,0.0437013739447111,0.0493295811951664,0.0643776824034335,0.0647078243644767,0.0495212941564873,0.049191152195444,24348,37300,37057
"560","19039",42.7,0.579722894,0.422510312315852,0.522605363984674,0.435881238155401,0.53190145293746,32.1,69.6,0.00707130229817325,0.126694166175604,0.0807307012374779,0.131997642899234,0.167389418907199,0.151777970511709,0.569045665846322,0.0663725302129292,0.00690581239209668,37.9,42.2,0.0539952101023296,0.048769867189201,0.0709775745699978,0.0574787720444154,0.0603540200469183,0.055022392834293,0.0603540200469183,0.0518234165067179,20833,31136,37578
"561","19041",24.7,0.575197393,0.497240778390938,0.48860103626943,0.44232121922626,0.522039859320047,3,11,0.00697066511762997,0.118791751379611,0.179785071158873,0.108335753703166,0.218228031953522,0.139312515129509,0.571105413964711,0.0365488979953483,0.00265810167238897,41.4,44,0.0560396998305495,0.050956184943113,0.0507141128056161,0.0538610505930767,0.0581294249161595,0.0544031797292262,0.0573841758787728,0.0585020494348528,30653,28922,36699
